0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,5,-1,-1,2,-1,-1,-1,-1,0,6,-1,-1,-1,-1,-1,0
0,0,8,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0
0,0,0,0,0,-1,-1,-1,-1,0,0,3,-1,-1,-1,-1,0
0,-1,-1,-1,5,-1,-1,-1,0,0,0,0,0,8,0,-1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0
0,-1,5,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0
0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0
0,-1,-1,-1,0,8,0,0,-1,-1,-1,-1,-1,0,-1,-1,0
0,-1,-1,-1,0,0,0,-1,-1,-1,-1,5,5,0,-1,0,0
0,-1,0,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,0
0,1,0,8,0,0,0,8,8,8,8,0,0,0,6,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
